AGN,,,,SN Ia,,,,SN II,,,,Bogus,,,,
Classification,Object ID,Object ID with Comma,,Classification,Object ID,Object ID with Comma,,Classification,Object ID,Object ID with Comma,1,"""ZTF18aabengc"""," ""rb"": 0.33"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aakdyss"""," ""ZTF18aakdyss"",",1," {""comment"": ""SN Ia """," ""ZTF19acnfjyw"""," ""ZTF19acnfjyw"",",1," {""comment"": ""SN II """," ""ZTF19acevysi"""," ""ZTF19acevysi"",",2,"""ZTF18aabloow"""," ""rb"": 0.406667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aajvtbl"""," ""ZTF18aajvtbl"",",2," {""comment"": ""SN Ia """," ""ZTF19aawtqdv"""," ""ZTF19aawtqdv"",",2," {""comment"": ""SN II """," ""ZTF19ackimmi"""," ""ZTF19ackimmi"",",,"""ZTF18aaayfzi"""," ""rb"": 0.566667"," ""Bogus""",,"{""objectId"": {""$in"": [""ZTF18aabstmw"", ""ZTF18aagrcfl""]}}"
" {""comment"": ""AGN"""," ""ZTF18aahkkjm"""," ""ZTF18aahkkjm"",",3," {""comment"": ""SN Ia """," ""ZTF19acslqnc"""," ""ZTF19acslqnc"",",3," {""comment"": ""SN II """," ""ZTF19abwztsb"""," ""ZTF19abwztsb"",",3,"""ZTF18aaayeav"""," ""rb"": 0.606667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aazogyo"""," ""ZTF18aazogyo"",",4," {""comment"": ""SN Ia """," ""ZTF19aalvaxt"""," ""ZTF19aalvaxt"",",4," {""comment"": ""SN II """," ""ZTF19aamhmsx"""," ""ZTF19aamhmsx"",",4,"""ZTF18aaaxqhn"""," ""rb"": 0.513333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aazcuno"""," ""ZTF18aazcuno"",",," {""comment"": ""SN Ia """," ""ZTF19abdmfgf"""," ""ZTF19abdmfgf"",",5," {""comment"": ""SN II-pec"""," ""ZTF19aaladlt"""," ""ZTF19aaladlt"",",5,"""ZTF18aaaxyhz"""," ""rb"": 0.656667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aachojf"""," ""ZTF18aachojf"",",5," {""comment"": ""SN Ia """," ""ZTF19acxnemy"""," ""ZTF19acxnemy"",",6," {""comment"": ""SN II"""," ""ZTF18acbwopo"""," ""ZTF18acbwopo"",",6,"""ZTF18aaaxsba"""," ""rb"": 0.393333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaadtdc"""," ""ZTF18aaadtdc"",",6," {""comment"": ""SN Ia """," ""ZTF19abuhlxk"""," ""ZTF19abuhlxk"",",7," {""comment"": ""SN II"""," ""ZTF18aaqkdwf"""," ""ZTF18aaqkdwf"",",7,"""ZTF18aaawzny"""," ""rb"": 0.473333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aasuray"""," ""ZTF18aasuray"",",7," {""comment"": ""SN Ia """," ""ZTF19aabyheu"""," ""ZTF19aabyheu"",",8," {""comment"": ""SN II"""," ""ZTF18aahqfee"""," ""ZTF18aahqfee"",",8,"""ZTF18aaayyvq"""," ""rb"": 0.68"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aayigdr"""," ""ZTF18aayigdr"",",8," {""comment"": ""SN Ia """," ""ZTF19aauvkxu"""," ""ZTF19aauvkxu"",",9," {""comment"": ""SN II"""," ""ZTF18aayxxew"""," ""ZTF18aayxxew"",",9,"""ZTF18aablmlg"""," ""rb"": 0.603333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abtslka"""," ""ZTF18abtslka"",",9," {""comment"": ""SN Ia """," ""ZTF19abuayqg"""," ""ZTF19abuayqg"",",10," {""comment"": ""SN II"""," ""ZTF18aahrzrb"""," ""ZTF18aahrzrb"",",,"""ZTF17aabxkbu"""," ""rb"": 0.776667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18acauwik"""," ""ZTF18acauwik"",",10," {""comment"": ""SN Ia 00cx-like"""," ""ZTF18abujnlz"""," ""ZTF18abujnlz"",",11," {""comment"": ""SN II"""," ""ZTF19aaaaxeu"""," ""ZTF19aaaaxeu"",",,"""ZTF18aabebwy"""," ""rb"": 0.39"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aaheszr"""," ""ZTF18aaheszr"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF19aawhlcn"""," ""ZTF19aawhlcn"",",12," {""comment"": ""SN II"""," ""ZTF19acykzsk"""," ""ZTF19acykzsk"",",10,"""ZTF18aaatfwp"""," ""rb"": 0.383333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaxzpyh"""," ""ZTF18aaxzpyh"",",11," {""comment"": ""SN Ia 02cx-like"""," ""ZTF18aczdapb"""," ""ZTF18aczdapb"",",13," {""comment"": ""SN II"""," ""ZTF19abxgatn"""," ""ZTF19abxgatn"",",,"""ZTF18aaaurkm"""," ""rb"": 0.786667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abnuhuy"""," ""ZTF18abnuhuy"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF19aaxeerg"""," ""ZTF19aaxeerg"",",14," {""comment"": ""SN II"""," ""ZTF19acftfav"""," ""ZTF19acftfav"",",11,"""ZTF18aaatgju"""," ""rb"": 0.316667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abtmeds"""," ""ZTF18abtmeds"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF19abalbim"""," ""ZTF19abalbim"",",15," {""comment"": ""SN II"""," ""ZTF19abbwfgp"""," ""ZTF19abbwfgp"",",12,"""ZTF18aaatgjy"""," ""rb"": 0.39"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aasszwr"""," ""ZTF18aasszwr"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF18abclfee"""," ""ZTF18abclfee"",",16," {""comment"": ""SN II"""," ""ZTF19aatmadu"""," ""ZTF19aatmadu"",",13,"""ZTF18aabexfz"""," ""rb"": 0.4"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abtnfmp"""," ""ZTF18abtnfmp"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF19aaputrv"""," ""ZTF19aaputrv"",",17," {""comment"": ""SN II"""," ""ZTF19acsuqzf"""," ""ZTF19acsuqzf"",",14,"""ZTF18aabcmic"""," ""rb"": 0.59"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aahxamc"""," ""ZTF18aahxamc"",",," {""comment"": ""SN Ia 02cx-like"""," ""ZTF19abqysic"""," ""ZTF19abqysic"",",18," {""comment"": ""SN II"""," ""ZTF19abqrhvy"""," ""ZTF19abqrhvy"",",15,"""ZTF18aabcdug"""," ""rb"": 0.443333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaqlblz"""," ""ZTF18aaqlblz"",",12," {""comment"": ""SN Ia 02cx"""," ""ZTF19aapelnr"""," ""ZTF19aapelnr"",",19," {""comment"": ""SN II"""," ""ZTF18abvvmdf"""," ""ZTF18abvvmdf"",",16,"""ZTF18aabbagt"""," ""rb"": 0.613333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aavtklk"""," ""ZTF18aavtklk"",",," {""comment"": ""SN Ia 02ic-like"""," ""ZTF19abidbqp"""," ""ZTF19abidbqp"",",20," {""comment"": ""SN II"""," ""ZTF18acusnvl"""," ""ZTF18acusnvl"",",17,"""ZTF18aabatfu"""," ""rb"": 0.416667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF17aaajnki"""," ""ZTF17aaajnki"",",13," {""comment"": ""SN Ia 02ic-like"""," ""ZTF18actuhrs"""," ""ZTF18actuhrs"",",21," {""comment"": ""SN II"""," ""ZTF19aapygmq"""," ""ZTF19aapygmq"",",18,"""ZTF18aabakkm"""," ""rb"": 0.556667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18acbyeid"""," ""ZTF18acbyeid"",",," {""comment"": ""SN Ia 02ic-like"""," ""ZTF19acbjddp"""," ""ZTF19acbjddp"",",22," {""comment"": ""SN II"""," ""ZTF19aaxqwjx"""," ""ZTF19aaxqwjx"",",19,"""ZTF18aabaisr"""," ""rb"": 0.35"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18ablrlbm"""," ""ZTF18ablrlbm"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aanxgrz"""," ""ZTF19aanxgrz"",",23," {""comment"": ""SN II"""," ""ZTF19ablfoqa"""," ""ZTF19ablfoqa"",",20,"""ZTF18aabamdr"""," ""rb"": 0.443333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abmjija"""," ""ZTF18abmjija"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18aaodnxt"""," ""ZTF18aaodnxt"",",24," {""comment"": ""SN II"""," ""ZTF19aatqzrb"""," ""ZTF19aatqzrb"",",21,"""ZTF18aaazotu"""," ""rb"": 0.373333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaxrcgd"""," ""ZTF18aaxrcgd"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18acefgoc"""," ""ZTF18acefgoc"",",25," {""comment"": ""SN II"""," ""ZTF19acryurj"""," ""ZTF19acryurj"",",22,"""ZTF18aaaruhp"""," ""rb"": 0.82"," ""Moving""",,
" {""comment"": ""AGN"""," ""ZTF18aambjzu"""," ""ZTF18aambjzu"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aawfbzn"""," ""ZTF19aawfbzn"",",26," {""comment"": ""SN II"""," ""ZTF19aawgxdn"""," ""ZTF19aawgxdn"",",23,"""ZTF18aaaqkev"""," ""rb"": 0.36"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aabuaxp"""," ""ZTF18aabuaxp"",",14," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abnzocn"""," ""ZTF18abnzocn"",",," {""comment"": ""SN II"""," ""ZTF19abyuzch"""," ""ZTF19abyuzch"",",24,"""ZTF18aaawgon"""," ""rb"": 0.286667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaqiivp"""," ""ZTF18aaqiivp"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aahjhoy"""," ""ZTF19aahjhoy"",",," {""comment"": ""SN II"""," ""ZTF19abgrmfu"""," ""ZTF19abgrmfu"",",25,"""ZTF18aaavsbo"""," ""rb"": 0.406667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaqiivp"""," ""ZTF18aaqiivp"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aablual"""," ""ZTF19aablual"",",," {""comment"": ""SN II"""," ""ZTF18abimhfu"""," ""ZTF18abimhfu"",",26,"""ZTF18aabphzo"""," ""rb"": 0.336667"," ""Moving""",,
" {""comment"": ""AGN"""," ""ZTF18aamnrdd"""," ""ZTF18aamnrdd"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18acslpba"""," ""ZTF18acslpba"",",," {""comment"": ""SN II"""," ""ZTF18abzscns"""," ""ZTF18abzscns"",",27,"""ZTF18aabpcxj"""," ""rb"": 0.236667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aamnrdd"""," ""ZTF18aamnrdd"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19ablqnuw"""," ""ZTF19ablqnuw"",",," {""comment"": ""SN II"""," ""ZTF18abokyfk"""," ""ZTF18abokyfk"",",28,"""ZTF18aabcvjb"""," ""rb"": 0.61"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aamfehn"""," ""ZTF18aamfehn"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19acazpyz"""," ""ZTF19acazpyz"",",," {""comment"": ""SN II"""," ""ZTF19abacxod"""," ""ZTF19abacxod"",",29,"""ZTF18aaawcmw"""," ""rb"": 0.313333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaugofd"""," ""ZTF18aaugofd"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19acgldqr"""," ""ZTF19acgldqr"",",," {""comment"": ""SN II"""," ""ZTF19abbnamr"""," ""ZTF19abbnamr"",",30,"""ZTF18aaborsb"""," ""rb"": 0.293333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aagteoy"""," ""ZTF18aagteoy"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abltdfj"""," ""ZTF18abltdfj"",",," {""comment"": ""SN II"""," ""ZTF18abwkrbl"""," ""ZTF18abwkrbl"",",31,"""ZTF18aaaumdl"""," ""rb"": 0.306667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaiyzuz"""," ""ZTF18aaiyzuz"",",15," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abjrznx"""," ""ZTF18abjrznx"",",," {""comment"": ""SN II"""," ""ZTF18abyvenk"""," ""ZTF18abyvenk"",",32,"""ZTF18aabejha"""," ""rb"": 0.293333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aampjcm"""," ""ZTF18aampjcm"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aavitlq"""," ""ZTF19aavitlq"",",," {""comment"": ""SN II"""," ""ZTF19accbeju"""," ""ZTF19accbeju"",",33,"""ZTF18aaawufa"""," ""rb"": 0.453333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaiceki"""," ""ZTF18aaiceki"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abdcfgz"""," ""ZTF18abdcfgz"",",," {""comment"": ""SN II"""," ""ZTF19abctxhf"""," ""ZTF19abctxhf"",",34,"""ZTF18aabpshu"""," ""rb"": 0.303333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaowgrl"""," ""ZTF18aaowgrl"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19abhibzk"""," ""ZTF19abhibzk"",",," {""comment"": ""SN II"""," ""ZTF18abcezmh"""," ""ZTF18abcezmh"",",35,"""ZTF18aaavquv"""," ""rb"": 0.28"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaaqjnb"""," ""ZTF18aaaqjnb"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18aahfgyz"""," ""ZTF18aahfgyz"",",," {""comment"": ""SN II"""," ""ZTF18abgqvwv"""," ""ZTF18abgqvwv"",",36,"""ZTF18aabasre"""," ""rb"": 0.713333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aakztwr"""," ""ZTF18aakztwr"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19abrdxbh"""," ""ZTF19abrdxbh"",",," {""comment"": ""SN II"""," ""ZTF18abcptmt"""," ""ZTF18abcptmt"",",37,"""ZTF18aabbuph"""," ""rb"": 0.516667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aamyaaj"""," ""ZTF18aamyaaj"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18aajtlbf"""," ""ZTF18aajtlbf"",",," {""comment"": ""SN II"""," ""ZTF18abddjpt"""," ""ZTF18abddjpt"",",38,"""ZTF18aabeemp"""," ""rb"": 0.31"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaimafl"""," ""ZTF18aaimafl"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18aabstmw"""," ""ZTF18aabstmw"",",," {""comment"": ""SN II"""," ""ZTF18abwlsoi"""," ""ZTF18abwlsoi"",",39,"""ZTF18aaavrue"""," ""rb"": 0.293333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaizewi"""," ""ZTF18aaizewi"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18aaimxdx"""," ""ZTF18aaimxdx"",",," {""comment"": ""SN II"""," ""ZTF19aatqzim"""," ""ZTF19aatqzim"",",40,"""ZTF18aabcztj"""," ""rb"": 0.443333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaqzpne"""," ""ZTF18aaqzpne"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abdmgab"""," ""ZTF18abdmgab"",",," {""comment"": ""SN II"""," ""ZTF19aatqzim"""," ""ZTF19aatqzim"",",41,"""ZTF18aaavczx"""," ""rb"": 0.283333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18abamhju"""," ""ZTF18abamhju"",",16," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18abtnbys"""," ""ZTF18abtnbys"",",," {""comment"": ""SN II"""," ""ZTF18abcqhgr"""," ""ZTF18abcqhgr"",",42,"""ZTF18aaaqsnn"""," ""rb"": 0.29"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaohiqj"""," ""ZTF18aaohiqj"",",17," {""comment"": ""SN Ia 91bg-like"""," ""ZTF18adathpb"""," ""ZTF18adathpb"",",," {""comment"": ""SN II"""," ""ZTF18achtnvk"""," ""ZTF18achtnvk"",",,"""ZTF17aaaikrb"""," ""rb"": 0.54"," ""Stellar""",,
